S.N.	Reference No.	Name	Acc. No.	Valid From	Valid Upto	Remarks
467	H-2016-1080	Spandan Multipsecilaity Hospital, Vadodara, Gujarat, India	H-2017-0494	06 Aug 2024	05 Aug 2028	Renewed on 5th Edition
468	H-2014-0850	Yatharth Wellness Super Speciality Hospital and Heart Centre, Noida, Uttar Pradesh, India	H-2017-0495	06 Aug 2024	05 Aug 2028	Renewed on 5th Edition
469	H-2009-0335	KMC Hospital & Research Centre, Meerut, Uttar Pradesh, India	H-2017-0496	06 Aug 2020	05 Aug 2023	Not Recommended for Renewal of accreditation
470	H-2015-0923	Kamalnayan Bajaj Hospital, Aurangabad, Maharashtra, India	H-2017-0497	06 Aug 2023	05 Aug 2027	Renewed on 5th Edition
471	H-2016-1047	Little flower and Research Centre, Ernakulam, Kerala, India	H-2017-0498	06 Aug 2023	05 Aug 2027	Renewed on 5th Edition
472	H-2015-1008	Pancham Hospitals (A Unit of Pancham Hospitals Private Limited), Ludhiana, Punjab, India	H-2017-0499	06 Aug 2023	05 Aug 2027	Renewed on 5th Edition
473	H-2016-1078	Solanki Hospital, Alwar, Rajasthan, India	H-2017-0500	15 Nov 2024	14 Nov 2028	Renewed on 5th Edition
474	H-2016-1062	Shalby Hospital, Indore, Madhya Pradesh, India	H-2017-0501	15 Nov 2017	14 Nov 2020	Not Recommended for Renewal of accreditation
475	H-2015-1023	Global Hospital (A Unit of Sood Hospital Pvt. Ltd.), Jalandhar, Punjab, India	H-2017-0502	15 Nov 2020	14 Nov 2024	Not Recommended for Renewal of accreditation
476	H-2016-1097	Avee Hospital (A Unit of Kastura Medicos Ltd.) - (Earlier Certificate issued in the name of Aarogya Hospital), Vaishali, Ghaziabad, Uttar Pradesh, India	H-2017-0503	15 Nov 2024	14 Nov 2028	Renewed on 5th Edition
477	H-2009-0266	Avanti Institute of Cardiology Pvt. Ltd, Nagpur, Maharashtra, India	H-2017-0504	15 Nov 2024	14 Nov 2028	Renewed on 5th Edition
478	H-2013-0732	LISIE Hospital, Ernakulam, Kerala, India	H-2017-0505	15 Nov 2024	14 Nov 2028	Renewed on 5th Edition
479	H-2016-1091	Narayana Superspeciality Hospital (Unit of MMRHL), Kolkata, West Bengal, India	H-2017-0506	15 Nov 2023	14 Nov 2027	Renewed on 5th Edition
480	H-2017-1136	Rukmani Birla Hospital (A unit of The Calcutta Medical Research Institute), Jaipur, Rajasthan, India	H-2017-0507	15 Nov 2023	14 Nov 2027	Renewed on 5th Edition
481	H-2016-1117	Virinchi Hospitals (A Unit of Virinchi Healthcare Pvt. Ltd.), Hyderabad, Telangana, India	H-2017-0508	15 Nov 2024	14 Nov 2028	Renewed on 5th Edition
482	H-2012-0602	Santom Hospital, New Delhi, Delhi, India	H-2017-0509	15 Nov 2017	14 Nov 2020	Not Recommended for Renewal of accreditation
483	H-2013-0784	Yashoda Hospital and Cancer Institute (A Unit of Yashoda Hospital and Research Centre Limited), Ghaziabad, Uttar Pradesh, India	H-2017-0510	15 Nov 2023	14 Nov 2027	Renewed on 5th Edition
484	H-2012-0610	Narad Multispecialty Hospital & Trauma Centre, Hoshiarpur, Punjab, India	H-2017-0511	15 Nov 2017	14 Nov 2020	Application Closed
485	H-2014-0857	Noble Hospital, Bhopal, Madhya Pradesh, India	H-2018-0512	08 Jan 2018	07 Jan 2021	Not recommended for renewal
486	H-2016-1098	Srikara Hospitals, Madinaguda, Hyderabad, Telangana, India	H-2018-0513	08 Jan 2018	07 Jan 2021	Application Closed
487	H-2012-0636	Jain Social Federation’s Anandrishiji Hospital and Medical Research Centre - (Earlier Certificate issued in the Name of Jain Social Federations Anandrishiji Hospital & Cardiac Surgery Centre), Ahmednagar, Maharashtra, India	H-2018-0514	08 Jan 2025	07 Jan 2029	Renewed on 5th Edition
488	H-2016-1046	Supraja Hospitals, Hyderabad, Telangana, India	H-2018-0515	08 Jan 2018	07 Jan 2021	Application Closed
489	H-2010-0411	Vivekananda Polyclinic & Institute of Medical Sciences, Lucknow, Uttar Pradesh, India	H-2018-0516	08 Jan 2025	07 Jan 2029	Renewed on 5th Edition
490	H-2016-1096	Dr. Karam Singh Memorial , Amritsar, Punjab, India	H-2018-0517	08 Jan 2021	07 Jan 2025	Moved to SHCO Accreditation Program
491	H-2016-1042	Neelkanth Hospital, Amritsar, Punjab, India	H-2018-0518	08 Jan 2021	07 Jan 2025	Forced Withdrawal of Accreditation w.e.f. 3rd August 2024
492	H-2013-0778	Care Hospitals - Malakpet (A Unit of Quality Care India Limited), Hyderabad, Telangana, India	H-2018-0519	08 Jan 2024	07 Jan 2028	Renewed on 5th Edition
493	H-2015-0992	KIMS Hospital Enterprises Pvt. Ltd., Kondapur, Hyderabad, Telangana, India	H-2018-0520	08 Jan 2024	07 Jan 2028	Renewed on 5th Edition
494	H-2011-0544	SMT Paarvati Devi Hospital, Amritsar, Punjab, India	H-2018-0521	08 Jan 2025	07 Jan 2029	Renewed on 5th Edition
495	H-2017-1128	Yenepoya Institute of Medical Sciences & Research Pvt. Ltd., Mangalore, Karnataka, India	H-2018-0522	08 Jan 2025	07 Jan 2029	Renewed on 5th Edition
496	H-2017-1145	Venkateshwar Hospital, Delhi, Delhi, India	H-2018-0523	08 Jan 2025	07 Jan 2029	Renewed on 5th Edition
497	H-2015-1002	Aastha Kidney & Superspeciality Hospital, Ludhiana, Punjab, India	H-2018-0524	08 Jan 2018	07 Jan 2021	Moved to SHCO
498	H-2009-0220	City Hospital & Research Centre (P) Ltd., Jabalpur, Madhya Pradesh, India	H-2018-0525	08 Jan 2018	07 Jan 2021	Not Recommended for Renewal of accreditation
499	H-2014-0900	L N Medical College and J K Hospital, Bhopal, Madhya Pradesh, India	H-2018-0526	08 Jan 2018	07 Jan 2021	Application Closed
500	H-2015-0994	Manu Hospital, Coimbatore, Tamil Nadu, India	H-2018-0527	08 Jan 2021	07 Jan 2025	Accreditation Expired
501	H-2016-1118	Apollo Hospitals, Seshadripuram, Bangalore, Karnataka, India	H-2018-0528	18 Feb 2025	17 Feb 2029	Renewed on 5th Edition
502	H-2016-1052	HCG Cancer Centre, Ahmedabad, Gujarat, India	H-2018-0529	18 Feb 2021	17 Feb 2025	Voluntary Withdrawal w.e.f. 31st August 2024
503	H-2016-1081	Healthcare Global Enterprises Limited, Bangalore, Karnataka, India	H-2018-0530	18 Feb 2025	17 Feb 2029	Renewed on 5th Edition
504	H-2016-1040	Medicover Hospitals (A Unit of Abhayanjaneya Health Care Pvt.Ltd.), Nellore, Andhra Pradesh, India	H-2018-0531	18 Feb 2025	17 Feb 2029	Renewed on 5th Edition
505	H-2017-1133	Care Hospitals (A Unit of Quality Care India Limited), Hi-Tech City, Gachibowli, Hyderabad, Telangana, India	H-2018-0532	18 Feb 2025	17 Feb 2029	Renewed on 5th Edition
506	H-2016-1110	Pinnacle Hospitals, Visakhapatnam, Andhra Pradesh, India	H-2018-0533	18 Feb 2025	17 Feb 2029	Renewed on 5th Edition
507	H-2009-0311	Orange City Hospital & Research Institute, Nagpur, Maharashtra, India	H-2018-0534	11 Mar 2025	10 Mar 2029	Renewed on 5th Edition
508	H-2017-1157	Geetanjali Medical College & Hospital, Udaipur, Rajasthan, India	H-2018-0535	11 Mar 2025	10 Mar 2029	Renewed on 5th Edition
509	H-2016-1102	T. S. Misra Medical College and Hospital, Lucknow, Uttar Pradesh, India	H-2018-0536	11 Mar 2018	10 Mar 2021	Not Recommended for Renewal of accreditation
510	H-2017-1168	Indus International Hospital, Mohali, Punjab, India	H-2018-0537	11 Mar 2025	10 Mar 2029	Renewed on 5th Edition
511	H-2015-0971	Apollo KH Hospital, Melvisharam, Vellore, Tamil Nadu, India	H-2018-0538	11 Mar 2025	10 Mar 2029	Renewed on 5th Edition
512	H-2016-1112	Sir H.N. Reliance Foundation Hospital and Research Centre, Mumbai, Maharashtra, India	H-2018-0539	11 Mar 2025	10 Mar 2029	Renewed on 5th Edition
513	H-2016-1120	Mayom Hospital, Gurgaon, Haryana, India	H-2018-0540	11 Mar 2024	10 Mar 2028	Renewed on 5th Edition
514	H-2016-1111	Mohandai Oswal Hospital, G.T Road, Sherpur Bypass, Ludhiana, Punjab, India	H-2018-0541	22 Apr 2025	21 Apr 2029	Renewed on 5th Edition
515	H-2017-1143	Delhi Heart Institute & Multispecialty Hospital , Bathinda, Punjab, India	H-2018-0542	22 Apr 2018	21 Apr 2021	Application Closed
516	H-2017-1154	Max Super Speciality Hospital (A Unit of Alexis Multispeciality Hospital Pvt. Ltd.) - (Earlier Certificate issued in the name of Alexis Multispecialty Hospital), Nagpur, Maharashtra, India	H-2018-0543	22 Apr 2025	21 Apr 2029	Renewed on 5th Edition
517	H-2016-1070	Fortune Hospital, Kanpur, Uttar Pradesh, India	H-2018-0544	22 Apr 2025	21 Apr 2029	Renewed on 5th Edition
518	H-2017-1148	Cygnus Superspeciality Hospital, Kaithal, Haryana, India	H-2018-0545	13 May 2025	12 May 2029	Renewed on 6th Edition
519	H-2017-1169	O.P Jindal Institute of Cancer & Cardiac Research, Hisar, Haryana, India	H-2018-0546	16 Jun 2025	15 Jun 2029	Renewed on 5th Edition
520	H-2016-1126	Nayati Multi Super Speciality Hospital, Mathura, Uttar Pradesh, India	H-2018-0547	22 Jul 2018	21 Jul 2021	Application Closed
521	H-2017-1179	HCG Cancer Centre, Vadodara, Gujarat, India	H-2018-0548	22 Jul 2025	21 Jul 2029	Renewed on 5th Edition
522	H-2016-1088	Neo Hospital (A Unit of Muskan Medical Centre Pvt. Ltd.), Noida, Uttar Pradesh, India	H-2018-0549	22 Jul 2025	21 Jul 2029	Renewed on 5th Edition
523	H-2016-1119	GNRC Institute of Medical Science, North , Guwahati, Assam, India	H-2018-0550	22 Jul 2025	21 Jul 2029	Renewed on 5th Edition
524	H-2016-1101	Uppal Neuro Hospital, Amritsar, Punjab, India	H-2018-0551	19 Aug 2025	18 Aug 2029	Renewed on 6th Edition
525	H-2017-1146	Bhandari Hospital & Research Centre , Indore, Madhya Pradesh, India	H-2018-0552	19 Aug 2025	18 Aug 2029	Renewed on 5th Edition
526	H-2017-1142	Poona Hospital And Research Centre , Pune, Maharashtra, India	H-2018-0553	19 Aug 2025	18 Aug 2029	Renewed on 5th Edition
527	H-2017-1149	Kamineni Health Care Private Limited, Vijayawada, Andhra Pradesh, India	H-2018-0554	19 Aug 2025	18 Aug 2029	Renewed on 6th Edition
528	H-2017-1186	Aadhar Health Institue (A Unit of VLCOM Healthcare Private Limited), Hisar, Haryana, India	H-2018-0555	19 Aug 2025	18 Aug 2029	Renewed on 5th Edition
529	H-2016-1122	Amaltas Institute of Medical Sciences, Dewas, Madhya Pradesh, India	H-2018-0556	19 Aug 2025	18 Aug 2029	Renewed on 5th Edition
530	H-2016-1103	Health Hospitals, Tenali, Andhra Pradesh, India	H-2018-0557	19 Aug 2021	18 Aug 2025	Voluntary Withdrawal w.e.f 29th Jan 2024
531	H-2017-1165	Navin Hospital, Greater Noida, Uttar Pradesh, India	H-2018-0558	19 Aug 2025	18 Aug 2029	Renewed on 5th Edition
532	H-2016-1106	SVS Institute of Neurosciences, Kachiguda, Hyderabad, Telangana, India	H-2018-0559	19 Aug 2018	18 Aug 2021	Expired in Abeyance
533	H-2016-1121	Shri Mata Vaishno Devi Narayana Superspeciality Hospital, Kakryal, Jammu and Kashmir, India	H-2018-0560	19 Aug 2025	18 Aug 2029	Renewed on 5th Edition
534	H-2012-0664	Amala Institute of Medical Sciences, Thrissur, Kerala, India	H-2018-0561	16 Sep 2025	15 Sep 2029	Renewed on 5th Edition
535	H-2016-1069	Aster CMI Hospital, Sahakara Nagar, Bangalore, Karnataka, India	H-2018-0562	16 Sep 2025	15 Sep 2029	Renewed on 6th Edition
536	H-2016-1116	Vedanta Hospitals, Guntur, Andhra Pradesh, India	H-2018-0563	16 Sep 2018	15 Sep 2021	Application closed
537	H-2016-1124	Apollo Speciality Hospitals, OMR, Chennai, Tamil Nadu, India	H-2018-0564	16 Sep 2021	15 Sep 2025	Renewed on 5th Edition
538	H-2015-0913	Goyal Hospital & Research Centre Pvt. Ltd., Jodhpur, Rajasthan, India	H-2018-0565	16 Sep 2025	15 Sep 2029	Renewed on 5th Edition
539	H-2016-1104	Rainbow Children's Hospital and Birthright by Rainbow (A Unit of Rainbow Medicare Pvt. Ltd.), Marthalli, Bangalore, Karnataka, India	H-2018-0566	16 Sep 2021	15 Sep 2025	Renewed on 5th Edition
540	H-2015-0924	Apollo Childerns Hospital, Chennai, Tamil Nadu, India	H-2018-0567	16 Sep 2021	15 Sep 2025	Renewed on 5th Edition
541	H-2017-1151	Care & Cure Medicity Hospital, Amritsar, Punjab, India	H-2018-0568	16 Sep 2025	15 Sep 2029	Renewed on 6th Edition
542	H-2015-1010	PBMA'S H V Desai Eye Hospital, Pune, Maharashtra, India	H-2018-0569	16 Sep 2018	15 Sep 2021	Shifted to ECO
543	H-2015-0970	New Ruby Hospital Pvt. Ltd., Jalandhar, Punjab, India	H-2018-0570	16 Sep 2025	15 Sep 2029	Renewed on 5th Edition
544	H-2009-0151	Prayag Hospital & Research Centre (P) Ltd., Noida, Uttar Pradesh, India	H-2018-0571	16 Sep 2025	15 Sep 2029	Renewed on 5th Edition
545	H-2016-1056	Global Heart and General Hospital Private Limited, Jaipur, Rajasthan, India	H-2018-0572	16 Sep 2021	15 Sep 2025	Renewed on 5th Edition
546	H-2016-1090	MGM Medical College Hospital and Medical Center Research Institute, Aurangabad, Maharashtra, India	H-2018-0573	16 Sep 2025	15 Sep 2029	Renewed on 6th Edition
547	H-2017-1192	Bharati Vidyapeeth University Medical College Hospital & Research Centre, Pune, Maharashtra, India	H-2018-0574	16 Sep 2021	15 Sep 2025	Renewed on 5th Edition
548	H-2017-1172	Sparsh Super Speciality Hospital, Yeashwanthpur, Bangalore, Karnataka, India	H-2018-0575	27 Oct 2025	26 Oct 2029	Renewed on 5th Edition
549	H-2017-1141	Aditya Super Speciality Hospital And Research Centre , Jabalpur, Madhya Pradesh, India	H-2018-0576	27 Oct 2018	26 Oct 2021	Not Recommended for Renewal of accreditation
550	H-2015-0965	Landmark Hospitals, Kukatpally, Hyderabad, Telangana, India	H-2018-0577	23 Jun 2022	22 Jun 2026	Renewed on 5th Edition
551	H-2014-0828	Kaizen Hospital, Ahmedabad, Gujarat, India	H-2018-0578	27 Oct 2018	26 Oct 2021	Moved to SHCO
552	H-2017-1188	Amritdhara-My Hospital, Karnal, Haryana, India	H-2018-0579	27 Oct 2025	26 Oct 2029	Renewed on 5th Edition
553	H-2017-1170	Andhra Hospitals (Bhavanipuram) Pvt. Ltd., Vijayawada, Andhra Pradesh, India	H-2018-0580	27 Oct 2025	26 Oct 2029	Renewed on 6th Edition
554	H-2017-1127	Eden Critical Care Hospital, Chandigarh, Punjab, India	H-2018-0581	27 Oct 2025	26 Oct 2029	Renewed on 6th Edition
555	H-2017-1187	The Corporate Hospital, Amritsar, Punjab, India	H-2018-0582	27 Oct 2021	26 Oct 2025	Renewed on 5th Edition
556	H-2017-1184	Nayyar Heart Institute & Super Speciality Hospital, Amritsar, Punjab, India	H-2018-0583	27 Oct 2025	26 Oct 2029	Renewed on 6th Edition
557	H-2017-1152	Chirayu Health & Medicare Pvt. Ltd., Bhopal, Madhya Pradesh, India	H-2018-0584	27 Oct 2025	26 Oct 2029	Renewed on 6th Edition
558	H-2017-1215	QRG Medicare Private Limited - (Earlier Certificate issued in the Name of QRG Medicare Limited), Faridabad, Haryana, India	H-2018-0585	27 Oct 2025	26 Oct 2029	Renewed on 5th Edition
559	H-2017-1220	Rainbow Children's Medicare Limited, Bangalore, Karnataka, India	H-2018-0586	02 Dec 2021	01 Dec 2025	Renewed on 5th Edition
560	H-2017-1144	Sunrise Institute Of Medical Science, Vazhakkala Village, Ernakulam, Kerala, India	H-2018-0587	20 Dec 2021	19 Dec 2025	Renewed on 5th Edition
561	H-2016-1099	People Tree Hospitals, Bangalore, Karnataka, India	H-2018-0588	20 Dec 2021	19 Dec 2025	Renewed on 5th Edition
562	H-2016-1055	Nova Hospital Limited, Lucknow, Uttar Pradesh, India	H-2018-0589	20 Dec 2021	19 Dec 2025	Renewed on 5th Edition
563	H-2017-1216	CareBest Superspeciality Hospital , Jalandhar, Punjab, India	H-2018-0590	20 Dec 2021	19 Dec 2025	Renewed on 5th Edition
564	H-2016-1054	Cosmo Hospital, Mohali, Punjab, India	H-2018-0591	20 Dec 2018	19 Dec 2021	Accreditation under Suspension w.e.f November 09, 2021
565	H-2017-1139	Apollo Hospitals Enterprise Limited, Visakhapatnam, Andhra Pradesh, India	H-2018-0592	20 Dec 2025	19 Dec 2029	Renewed on 6th Edition
566	H-2017-1164	Narmada Apna Hospital , Hoshangabad, Madhya Pradesh, India	H-2018-0593	20 Dec 2021	19 Dec 2025	Renewed on 5th Edition
567	H-2016-1123	Citi Neuro Centre, Banjara Hills, Hyderabad, Telangana, India	H-2019-0594	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
568	H-2017-1138	Asian Heart Institute and Research Centre, Mumbai, Maharashtra, India	H-2019-0595	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
569	H-2009-0161	Vinayak Hospital, Noida, Uttar Pradesh, India	H-2019-0596	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
570	H-2017-1198	Sapra Multispeciality Hospital, Hisar, Haryana, India	H-2019-0597	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
571	H-2017-1167	Narayana Multispeciality Hospital Jaipur (A Unit of Narayana Hrudayalaya Ltd.), Jaipur, Rajasthan, India	H-2019-0598	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
572	H-2015-0997	Bhartimaiya Memorial Foundation (Bharat Cancer Hospital & Nirali Memorial Radiation Centre) , Surat, Gujarat, India	H-2019-0599	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
573	H-2017-1162	Charusat Hospital, Charusat Healthcare and Research Foundation, Anand, Gujarat, India	H-2019-0600	13 Jan 2019	12 Jan 2022	Accreditation Expired
574	H-2015-1025	Livasa Hospital, Amritsar (A Unit of Ivy Health and Life Sciences Private Limited) - (Earlier Certificate issued in the name of Ivy Health & Life Sciences Pvt. Ltd.), Amritsar, Punjab, India	H-2019-0601	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
575	H-2009-0342	Shekhar Hospital Pvt. Ltd., Lucknow, Uttar Pradesh, India	H-2019-0602	13 Jan 2022	12 Jan 2026	Renewed on 5th Edition
576	H-2015-0966	Mahatama Gandhi Medical College & Hospital, Jaipur, Rajasthan, India	H-2019-0603	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
577	H-2013-0717	Indo US Superspeciality Hospital, Hyderabad, Telangana, India	H-2019-0604	24 Feb 2019	23 Feb 2022	Application Closed
578	H-2017-1219	Koshys Hospital, Bangalore, Karnataka, India	H-2019-0605	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
579	H-2016-1108	Usha Prime Multispeciality Hospital, Anakapalle, Andhra Pradesh, India	H-2019-0606	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
580	H-2018-1290	Nathan Super Speciality Hospital, Salem, Tamil Nadu, India	H-2019-0607	24 Feb 2019	23 Feb 2022	Not recommended for renewal
581	H-2017-1217	SRCC Childrens Hospital - Managed by Narayana Health, Mumbai, Maharashtra, India	H-2019-0608	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
582	H-2013-0729	Kamala Nehru Memorial Hospital Regional Cancer Centre, Prayagraj, Uttar Pradesh, India	H-2019-0609	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
583	H-2017-1159	Abrol Medical Centre Super Speciality Hospital, Gurdaspur, Punjab, India	H-2019-0610	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
584	H-2017-1175	Kanchi Kamakoti Childs Trust Hospital, Chennai, Tamil Nadu, India	H-2019-0611	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
585	H-2017-1221	Maharaja Agrasen Hospital, Dwarka, Delhi, Delhi, India	H-2019-0612	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
586	H-2018-1256	Aakash Healthcare Super Speciality Hospital, Delhi, Delhi, India	H-2019-0613	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
587	H-2018-1273	Manipal Hospitals, Whitefield , Bangalore, Karnataka, India	H-2019-0614	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
588	H-2017-1182	North East Health Care Private Limited (Earlier Certificate issued in the name of W-Pratiksha Hospital), Gurgaon, Haryana, India	H-2019-0615	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
589	H-2017-1189	St.Theresa's Hospital, Erragada, Hyderabad, Telangana, India	H-2019-0616	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
590	H-2017-1210	B.P Poddar Hospital & Medical Research Ltd., Kolkata, West Bengal, India	H-2019-0617	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
591	H-2017-1228	Yenepoya Medical College Hospital, Deralakatte, Mangalore, Karnataka, India	H-2019-0618	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
592	H-2011-0534	Marudhar Hospital (A Unit of Marudhar Hospital & Research Pvt. Ltd.) - (Earlier Certificate issued in the Name of Marudhar Hospital), Jaipur, Rajasthan, India	H-2019-0619	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
593	H-2017-1224	Gleneagles Hospital - Lakdikapul (A Unit of Gleneagles Healthcare India Private Limited), Hyderabad, Telangana, India	H-2019-0620	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
594	H-2017-1227	Jagadguru Sri Shivarathreeshwara Hospital, Mysore, Karnataka, India	H-2019-0621	31 Mar 2022	30 Mar 2026	Renewed on 5th Edition
595	H-2017-1233	Neelima Hospital, Hyderabad, Telangana, India	H-2019-0622	31 Mar 2019	30 Mar 2022	Not Recommended for Renewal of accreditation
596	H-2012-0650	Jeewan Hospital & Nursing Home Pvt. Ltd. Jeewan Nagar, New Delhi, Delhi, India	H-2019-0623	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
597	H-2014-0897	Malabar Hospitals (Private) Ltd., Malappuram, Kerala, India	H-2019-0624	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
598	H-2017-1196	Kauvery Hospital Chennai, Sri Kavery Medical Care Trichy Ltd., Mylapore, Chennai, Tamil Nadu, India	H-2019-0625	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
599	H-2017-1211	Gangamai Hospital, Solapur, Maharashtra, India	H-2019-0626	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
600	H-2017-1229	Fortis Hospitals Ltd., Cunningham, Bangalore, Karnataka, India	H-2019-0627	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
601	H-2018-1259	HCG NCHRI Cancer Centre (A unit of HCG NCHRI Oncology LLP), Nagpur, Maharashtra, India	H-2019-0628	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
602	H-2010-0451	Rangadore Memorial Hospital, Bangalore, Karnataka, India	H-2019-0629	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
603	H-2017-1190	Cytecare Hospitals Private Limited, Bangalore, Karnataka, India	H-2019-0630	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
604	H-2017-1208	Omni Hospitals (A Unit of INCOR Group), Hyderabad, Telangana, India	H-2019-0631	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
605	H-2017-1218	Sterling Ram Krishna Speciality Hospital, Gandhidham, Kutch, Gujarat, India	H-2019-0632	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
606	H-2018-1258	Healing Touch Super Specialty Hospital (A Unit of Blue Heavens Health Care Pvt. Ltd.), Ambala, Haryana, India	H-2019-0633	29 Apr 2022	28 Apr 2026	Renewed on 5th Edition
607	H-2015-0906	Cancer Hospital & Research Institute, Gwalior, Madhya Pradesh, India	H-2019-0634	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
608	H-2017-1134	Medicover Hospitals, Panasapadu, Andhra Pradesh, India	H-2019-0635	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
609	H-2017-1137	Kauvery Hospital - Heartcity (A Unit of Sri Kauvery Medical Care (India) Limited) - (Previously Known as Kauvery Heartcity - Unit of Sri Kavery Medical Care (Trichy) Limited), Trichy, Tamil Nadu, India	H-2019-0636	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
610	H-2017-1155	Sahyadri Super Specialty Hospital, Nasik, Maharashtra, India	H-2019-0637	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
611	H-2017-1213	S. L. Minda Memorial Hospital, Unit - Moga Devi Minda Charitable Trust, Adampur , Hisar, Haryana, India	H-2019-0638	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
612	H-2018-1277	Orison Super Speciality Hospital Infertility & Trauma Centre (A Unit of Conjoint Healthcare Pvt. Ltd.) , Ludhiana, Punjab, India	H-2019-0639	09 Jun 2019	08 Jun 2022	Not recommended for renewal
613	H-2018-1340	Human Care Medical Charitable Trust, Delhi, Delhi, India	H-2019-0640	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
614	H-2015-0988	Patel Hospital Pvt. Ltd., Jalandhar, Punjab, India	H-2019-0641	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
615	H-2017-1171	Andhra Hospitals, Suryaraopet, Vijayawada, Andhra Pradesh, India	H-2019-0642	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
616	H-2015-1004	Cancer Institute (WIA), Chennai, Tamil Nadu, India	H-2019-0643	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
617	H-2018-1267	Neelam Hospital (A unit of Neelam Healthcare Pvt. Ltd.), Patiala, Punjab, India	H-2019-0644	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
618	H-2018-1254	Sri Chandra Sekara Hospital, Hosur, Tamil Nadu, India	H-2019-0645	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
619	H-2017-1135	Prathima Hospitals (A Unit of Sri Sai Balaji Healthcare (I) Pvt. Ltd.), Hyderabad, Telangana, India	H-2019-0646	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
620	H-2018-1294	CMC Hospital, Hisar, Haryana, India	H-2019-0647	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
621	H-2018-1307	Mahajan Hospital, Amritsar, Punjab, India	H-2019-0648	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
622	H-2018-1315	Meitra Hospital (A Unit of premium Medical healthcare providers pvt ltd), Kozhikode, Kerala, India	H-2019-0649	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
623	H-2018-1369	Premier Hospital Pvt Ltd, Hyderabad, Telangana, India	H-2019-0650	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
624	H-2017-1183	Prathima Hospitals (A Unit of Mamatha Medi Care Private Limited), Hyderabad, Telangana, India	H-2019-0651	26 Aug 2022	25 Aug 2026	Renewed on 5th Edition
625	H-2017-1203	Shankus Hospitals, Mehsana, Gujarat, India	H-2019-0652	26 Aug 2022	25 Aug 2026	Renewed on 5th Edition
626	H-2018-1247	Amandeep Hospitals Pvt. Ltd. - (Earlier Certificate issued in the Name of Amandeep Hospital), Pathankot, Punjab, India	H-2019-0653	26 Aug 2022	25 Aug 2026	Renewed on 5th Edition
627	H-2018-1249	Annai Arul Hospital, Chennai, Tamil Nadu, India	H-2019-0654	26 Aug 2022	25 Aug 2026	Renewed on 5th Edition
628	H-2017-1201	Q1 Hospitals (A Unit of Q1 Bone & Joint Hospital), Visakhapatnam, Andhra Pradesh, India	H-2019-0655	26 Aug 2022	25 Aug 2026	Renewed on 5th Edition
